Date,Time,UserPhone,UserName,MessageBody
%2019-04-01,%07:56:10,%6188888770478643302,%EMT VALÈNCIA,%e2e_notification%
RUTAS
%2019-03-30,%21:45:49,%2088343517937502061,%Pil Ar,%Buenas noches, para ir a CE monteolivete que autobus he de coger desde nuevo centro?%
%2019-04-01,%08:07:26,%6188888770478643302,%EMT VALÈNCIA,%Buenos días, recuerda que nuestro horario de Atención al Cliente por WhatsApp es de Lunes a Viernes (laborables) de 8 a 21 horas y Sábados de 9 a 14 horas. Si sigues teniendo duda vuelve a contactar con nosotros.%
%2019-04-01,%08:08:07,%2088343517937502061,%Pil Ar,%Buenos días,  si, perdón, me di cuenta después%
%2019-04-01,%08:08:36,%2088343517937502061,%Pil Ar,%para ir a CE monteolivete que autobus he de coger desde nuevo centro?%
%2019-04-01,%08:11:54,%6188888770478643302,%EMT VALÈNCIA,%Puedes coger la línea 89 en Campanar - Joan Pau II hasta Peris i Valero - Bisbe Jaume Pérez%
%2019-04-01,%08:11:59,%6188888770478643302,%EMT VALÈNCIA,%Feliz día!%
%2019-04-01,%08:12:25,%2088343517937502061,%Pil Ar,%Ok muchas gracias%
%2019-04-01,%08:12:30,%2088343517937502061,%Pil Ar,%Feliz día%
